,pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
0,0,0.014549486,AT2_identity,0.7507069296856421,0.013939077715939397,1604
1,0,0.014549486,AT1_identity,-0.10522229352991333,0.005175864551488512,1604
2,0,0.014549486,interferon_response,-0.06857387304719642,0.0016710500593243647,1604
3,0,0.014549486,nfkb_inflammatory,-0.018776020352396724,0.0038824097643845026,1604
4,0,0.014549486,oxidative_stress,-0.07625415889364583,0.003742131309868114,1604
5,0,0.014549486,AT2_to_AT1_differentiation,-0.13184844617575261,0.004934486427098415,1604
6,0,0.014549486,apoptosis,-0.018273409059149787,0.0018734397899068912,1604
7,0,0.014549486,senescence,-0.04612246072758409,0.002661302714128042,1604
8,1,0.029743275,AT2_identity,0.7103619341584918,0.01034455145798666,2911
9,1,0.029743275,AT1_identity,-0.08261827816352711,0.0041225512433231285,2911
10,1,0.029743275,interferon_response,-0.05757923853859685,0.001224649369777939,2911
11,1,0.029743275,nfkb_inflammatory,0.01321576361236158,0.0031960335958834594,2911
12,1,0.029743275,oxidative_stress,-0.050744297926003386,0.0029410503082814275,2911
13,1,0.029743275,AT2_to_AT1_differentiation,-0.09023493067018211,0.004065252734967191,2911
14,1,0.029743275,apoptosis,-0.011745773485472613,0.0014860063912079766,2911
15,1,0.029743275,senescence,-0.0397133878148036,0.0019676020078474256,2911
16,2,0.04993634,AT2_identity,0.5275974076777751,0.012046972019481513,2315
17,2,0.04993634,AT1_identity,-0.09555518270263388,0.004667188549775753,2315
18,2,0.04993634,interferon_response,-0.03507381525337793,0.0026082214068855365,2315
19,2,0.04993634,nfkb_inflammatory,0.06610004666611546,0.004700500173052615,2315
20,2,0.04993634,oxidative_stress,-0.029426760372278083,0.0035826481482634886,2315
21,2,0.04993634,AT2_to_AT1_differentiation,-0.10385597609377376,0.004413859963745954,2315
22,2,0.04993634,apoptosis,-0.009761987078656822,0.0017560044927958797,2315
23,2,0.04993634,senescence,-0.03898321865628588,0.0023540773887861938,2315
24,3,0.06939533,AT2_identity,0.5756697909546793,0.013875025104894774,2138
25,3,0.06939533,AT1_identity,-0.08640269530896949,0.00508513971221761,2138
26,3,0.06939533,interferon_response,-0.00984734381594916,0.0038115678115685082,2138
27,3,0.06939533,nfkb_inflammatory,0.05966837208389462,0.005008746455121743,2138
28,3,0.06939533,oxidative_stress,-0.03079236291868931,0.003827691319212674,2138
29,3,0.06939533,AT2_to_AT1_differentiation,-0.10244095787032302,0.004839948120469173,2138
30,3,0.06939533,apoptosis,-0.006361405755464795,0.0018882908294529696,2138
31,3,0.06939533,senescence,-0.037110678658863465,0.0025556790281797835,2138
32,4,0.09056054,AT2_identity,0.41940793604111015,0.014081767392756376,1954
33,4,0.09056054,AT1_identity,0.028888809445018607,0.006854635151513643,1954
34,4,0.09056054,interferon_response,0.0008745645400595438,0.0037747135631545957,1954
35,4,0.09056054,nfkb_inflammatory,0.06307386665690644,0.005000676474861247,1954
