donor_id,condition,median_dispersion,variance_dispersion,n_cells
C51ctr,Control,10.326387405395508,5.199938774108887,1603
C52ctr,Control,10.537599563598633,7.041895389556885,2850
C53ctr,Control,11.298019409179688,60.63870620727539,916
C54ctr,Control,10.58382511138916,8.234886169433594,1871
C55ctr,Control,10.65539836883545,14.923117637634277,2015
C56ctr,Control,10.325163841247559,43.460140228271484,351
C57ctr,Control,10.744924545288086,4.649677753448486,2575
L01cov,COVID-19,6.4440388679504395,14.647838592529297,639
L03cov,COVID-19,11.268549919128418,93.9113540649414,389
L04cov,COVID-19,8.59422492980957,24.69341468811035,101
L04covaddon,COVID-19,7.941349983215332,11.400142669677734,62
L05cov,COVID-19,8.912653923034668,62.41322326660156,115
L06cov,COVID-19,13.860899925231934,30.44950294494629,1453
L07cov,COVID-19,7.244403839111328,22.548948287963867,617
L08cov,COVID-19,7.768751621246338,13.602609634399414,207
L09cov,COVID-19,7.3166961669921875,12.00487995147705,397
L10cov,COVID-19,6.308384895324707,8.708954811096191,358
L11cov,COVID-19,8.872737884521484,30.87489128112793,86
L12cov,COVID-19,6.61207389831543,41.52246856689453,256
L13cov,COVID-19,6.888395309448242,7.984801769256592,524
L15cov,COVID-19,8.272222518920898,21.289344787597656,843
L16cov,COVID-19,6.250199794769287,15.492006301879883,269
L17cov,COVID-19,7.776246547698975,10.85832691192627,464
L18cov,COVID-19,6.31691837310791,17.137771606445312,222
L19cov,COVID-19,6.552153587341309,4.095327377319336,1452
L21cov,COVID-19,8.647088050842285,7.162500858306885,680
L22cov,COVID-19,7.902279376983643,11.65356159210205,813
